description,type,status,steward,ushe_element,ushe_rule,ushe_file,ushe_field,ushe_notes,ushe_sql,banner,activity_date,edify
Missing room name,Database,Failure,,R09,R09a,Rooms,r_name,R_Name missing,"Into #R09A
From Rooms_ext'+@year+'
Where (r_name is null or r_name = '''')
and r_inst = @rinst
Order by r_build_number, r_number",space_utlz.rooms_detail.room_name,room_activity_date,Add room_name to quad.rooms
"Missing room stations when r_use_code 110, 210, 230",Database,Failure,,R10,R10a,Rooms,r_stations,"R_Stations missing for R_Use_Code 110, 210, 230","Into #R10A
From Rooms_ext'+@year+'
Where r_use_code in (''110'',''210'', ''230'')
and r_stations is null
and r_group1 <>''Z'' --Leasing to someone else
and r_use_category <> ''000''
--or r_stations = '''' { Data type numeric will not accept blank by design}
and r_inst = @rinst
Order by r_build_number, r_number",space_utlz.rooms_detail.room_stations,room_activity_date,Add room_stations to quad.rooms
"Invalid room stations when r_use_code 110, 210, 230",Database,Failure,,R10,R10b,Rooms,r_stations,"R_Stations Invalid for R_Use_Code 110, 210, 230","Into #R10b
From Rooms_ext'+@year+'
Where r_use_code in (''110'',''210'', ''230'')
and r_stations = ''0''
and r_group1 <> ''Z'' --Leasing to someone else
and r_use_category <> ''000''
and r_inst = @rinst
Order by r_build_number, r_number",space_utlz.rooms_detail.room_stations,room_activity_date,Add room_stations to quad.rooms
Stations out of range when r_use_code 110,Database,Warning,,R10,R10c,Rooms,r_stations,R_Stations out of range where r_use_code = 110,"Select ''''[R10C Use_Code_110 out of Range], r_inst, r_build_number, r_use_code, r_suffix, r_area, r_stations,
''7 to 16'' as ''Accept Range'', Cast(Round(r_area/r_stations, 0) as Int) as ''Calc Range''
Into #R10C
From Rooms_ext'+@year+'
Where r_use_code = ''110''
and Cast(Round(r_area/r_stations, 0) as Int) not between ''7'' and ''16''
and r_group1 <> ''Z''
and r_use_category <> ''000''
and r_inst = @rinst
Order by r_build_number, r_number",space_utlz.rooms_detail.room_stations,room_activity_date,Add room_stations to quad.rooms
Stations out of range when r_use_code 210,Database,Warning,,R10,R10d,Rooms,r_stations,R_Stations out of range where r_use_code = 210,"Select ''''[R10D Use_Code_210 out of Range], r_inst, r_build_number, r_use_code, r_suffix, r_area, r_stations,
''8 to 19'' as ''Accept Range'', Cast(Round(r_area/r_stations, 0) as Int) as ''Calc Range''
Into #R10D
From Rooms_ext'+@year+'
Where r_use_code = ''210''
and Cast(Round(r_area/r_stations, 0) as Int) not between ''8'' and ''19''
and r_group1 <> ''Z''
and r_use_category <> ''000''
and r_inst = @rinst
Order by r_build_number, r_number",space_utlz.rooms_detail.room_stations,room_activity_date,Add room_stations to quad.rooms
Missing room area,Database,Failure,,R11,R11a,Rooms,r_area,R_Area missing,"Into #R11A
From Rooms_ext'+@year+'
Where r_area is null
--or r_area = '''' {Data type numeric will not accept blank by design}
and r_inst = @rinst
Order by r_build_number, r_number",space_utlz.rooms_detail.room_area,room_activity_date,Add room_area to quad.rooms
Invalid room area,Database,Failure,,R11,R11b,Rooms,r_area,R_Area Invalid,"Into #R11B
From Rooms_ext'+@year+'
Where r_area = ''0''
and r_inst = @rinst
Order by r_build_number, r_number",space_utlz.rooms_detail.room_area,room_activity_date,Add room_area to quad.rooms
Invalid proration,Database,Failure,,R13,R13a,Rooms,r_proration,R_Proration Not Y or N,"Into #R13A
From Rooms_ext'+@year+'
Where r_proration not in( ''Y'',''N'')
and r_inst = @rinst
Order by r_build_number, r_number",space_utlz.room_prorated,room_activity_date,Add room_prorated to quad.rooms
Missing proration,Database,Failure,,R13,R13b,Rooms,r_proration,R_Proration missing,"Into #R13B
From Rooms_ext'+@year+'
Where (r_proration is null or r_proration = '''')
and r_inst = @rinst
Order by r_build_number, r_number",space_utlz.room_prorated,room_activity_date,Add room_prorated to quad.rooms
Prorated room area and prorated area equals zero,Database,Failure,,R13,R13c,Rooms,r_proration,"R_Proration = Y, R_Area and R_Prorated_area = 0","Into #R13C
From Rooms_ext'+@year+'
Where r_proration = ''Y''
and r_area = ''0'' and r_prorated_area = ''0''
and r_inst = @rinst
Order by r_build_number, r_number",space_utlz.room_prorated,room_activity_date,Add room_prorated to quad.rooms
"Prorated room area does not equal zero, but room area equals zero",Database,Failure,,R13,R13d,Rooms,r_proration,"R_Proration = Y, R_Area = 0 and R_Prorated_area <> 0","Into #R13D
From Rooms_ext'+@year+'
Where r_proration = ''Y''
and r_area = ''0'' and r_prorated_area <> ''0''
and r_inst = @rinst
Order by r_build_number, r_number",space_utlz.room_prorated,room_activity_date,Add room_prorated to quad.rooms
"Prorated room area equals zero, but room area does not equal zero",Database,Failure,,R13,R13e,Rooms,r_proration,"R_Proration = Y, R_Area <> 0 and R_Prorated_area = 0","Into #R13E
From Rooms_ext'+@year+'
Where r_proration = ''Y''
and r_area <> ''0'' and r_prorated_area = ''0''
and r_inst = @rinst
Order by r_build_number, r_number",space_utlz.room_prorated,room_activity_date,Add room_prorated to quad.rooms
"Proration equals N, but prorated area does not equal zero",Database,Failure,,R13,R13f,Rooms,r_proration,"R_Proration = N, R_Prorated_area <> 0","Into #R13F
From Rooms_ext'+@year+'
Where r_proration = ''N''
and r_prorated_area <> ''0''
and r_inst = @rinst
Order by r_build_number, r_numbe",space_utlz.room_prorated,room_activity_date,Add room_prorated to quad.rooms
Missing prorated area,Database,Failure,,R14,R14a,Rooms,r_prorated_area,R_Prorated_Area can not be null,"Into #R14A
From Rooms_ext'+@year+'
Where r_prorated_area is null
--or r_prorated_area = '''' {Data type numeric will not accept blank by design}
and r_inst = @rinst
Order by r_build_number, r_number",space_utlz.room_prorated_area,room_activity_date,Add room_prorated_area to quad.rooms
Sum of prorated area is not equal to room area,Database,Failure,,R14,R14b,Rooms,r_prorated_area,R_Prorated_Area Not Equal R_Area,"Into #R14B
From Rooms_ext'+@year+' r
join #Pro p on (r.r_inst = p.r_inst and r.r_year = p.r_year and r.r_build_number = p.r_build_Number and r.r_number = p.r_number)
where r.r_proration = ''Y''
and isnull(r.r_area,0) <> isnull(p.sum_prorated,0)
and r.r_inst = @rinst
Order by r.r_build_number, r.r_number",space_utlz.room_prorated_area,room_activity_date,Add room_prorated_area to quad.rooms
Invalid Date Format,Database,Failure,,R15,R15a,Rooms,r_update_date,R_Update_Date wrong format,"Into #R15a
From Rooms_ext'+@year+'
Where (len(r_update_date) <> ''8'' or substring(r_update_date,1,8) like ''%[a-z]%''
or r_update_date like ''%[/]%'')
and r_update_date <> ''''
and r_inst = @rinst
Order by r_build_number, r_number",room_activity_date,room_activity_date,Add room_activity_date to quad.rooms
Missing activity date,Database,Failure,,R15,R15b,Rooms,r_update_date,R_Update_Date blank list,"Into #R15b
From Rooms_ext'+@year+'
Where r_update_date = ''''
and r_inst = @rinst
Order by r_build_number, r_number",room_activity_date,room_activity_date,Add room_activity_date to quad.rooms
Update date is in the future,Database,Failure,,R15,R15c,Rooms,r_update_date,R_Update_Date is in the future,"Into #R15C
From Rooms_ext'+@year+'
where Convert(varchar(10), cast(r_update_date as date),101) > GETDATE()
and r_inst = @rinst
Order by r_build_number, r_number",room_activity_date,room_activity_date,Add room_activity_date to quad.rooms
Duplicate records,USHE,Failure,,,R99a,Rooms,,Looking for duplicate r_keys,"Select ''''[R99A FTL Duplicate R_Key], r_inst, r_year, r_build_number, r_number, r_suffix, r_group1, r_use_code,
concat(r_inst, r_year, r_build_number, r_number, r_suffix, r_group1, r_use_code) as [R_Key], Count(*) as [Duplicates]
Into #r99a
From Rooms_ext'+@year+'
Where r_inst = @rinst
Group by r_inst, r_year, r_build_number, r_number, r_suffix, r_group1, r_use_code, [R_Key]
Having Count(*) > ''1''
Order by r_number",,room_activity_date,
